objectid,filename,title,creator,date,description,subject,format
mrd001,Apartments.jpeg,Apartments,"Devitt, Margaret",2026-03-09,A set of apartment buildings.,"Buildings, Architecture",image/jpeg
mrd002,Boston Library Lion.jpeg,Boston Library Lion,"Devitt, Margaret",2026-03-08,The interior of the Boston Public Library main hallway.,"Libraries, Architecture",image/jpeg
mrd003,Burger.jpeg,Burger,"Devitt, Margaret",2026-03-10,A burger and fries from the Boston Burger Company.,Food,image/jpeg
mrd004,Church of Christ Scientist.jpeg,"Church of Christ, Scientist","Devitt, Margaret",2026-03-08,"The main building of the first Church of Christ, Scientist.","Religions, Christianity, Buildings, Architecture",image/jpeg
mrd005,Mango Drink.jpeg,Mango Drink,"Devitt, Margaret",2026-03-13,A glass containing a mango-flavored alcoholic margarita.,Drinks,image/jpeg
mrd006,Mint Drink.jpeg,Mint Drink,"Devitt, Margaret",2026-03-09,A glass containing the alcoholic drink “smash cut”.,Drinks,image/jpeg
mrd007,Playbill.jpeg,Playbill,"Devitt, Margaret",2026-03-10,A playbill for Stereophonic being held in front of the main stage of the Emerson Colonial Theatre.,Theater,image/jpeg
mrd008,Ramen.jpeg,Ramen,"Devitt, Margaret",2026-03-08,A bowl of chicken katsu ramen and a bowl of seaweed salad.,Food,image/jpeg
mrd009,Theatre Roof.jpeg,Theatre Roof,"Devitt, Margaret",2026-03-10,The ceiling of the Emerson Colonial Theatre.,"Buildings, Architecture, Theater",image/jpeg
mrd010,Waterfront.jpeg,Waterfront,"Devitt, Margaret",2026-03-12,The dock at Union Wharf in the North End.,"Wharves, Docks",image/jpeg
